Brand,Device Type,Generation,Model,Repair Type,Quality Tier,Price,Notes
Apple,iPhone,12 Series,iPhone 12 mini,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,12 Series,iPhone 12 mini,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,12 Series,iPhone 12,Screen Repair,OEM,279,Apple out-of-warranty pricing
Apple,iPhone,12 Series,iPhone 12,Screen Repair,Premium,209,75% of Apple price (25% reduction)
Apple,iPhone,12 Series,iPhone 12,Screen Repair,Economy,187,67% of Apple price (33% reduction)
Apple,iPhone,12 Series,iPhone 12,Battery Replacement,OEM,89,Apple out-of-warranty pricing
Apple,iPhone,12 Series,iPhone 12,Battery Replacement,Premium,67,75% of Apple price (25% reduction)
Apple,iPhone,12 Series,iPhone 12,Battery Replacement,Economy,60,67% of Apple price (33% reduction)
Apple,iPhone,12 Series,iPhone 12,Back Glass,Single,159,Single pricing
Apple,iPhone,12 Series,iPhone 12,Screen & Back Glass,Single,379,Single pricing
Apple,iPhone,12 Series,iPhone 12,Rear Camera Module,Single,209,Single pricing
Apple,iPhone,12 Series,iPhone 12,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,12 Series,iPhone 12,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,12 Series,iPhone 12,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,11 Series,iPhone 11 Pro Max,Screen Repair,Single,199,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Screen & Back Glass,Single,299,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Rear Camera Module,Single,209,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro Max,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Screen Repair,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Screen & Back Glass,Single,249,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Rear Camera Module,Single,209,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11 Pro,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Rear Camera Module,Single,209,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,11 Series,iPhone 11,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS Max,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XS,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone XR,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,X Series,iPhone X,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8 Plus,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,8 Series,iPhone 8,Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (3rd gen),Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Screen Repair,Single,129,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Battery Replacement,Single,79,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Back Glass,Single,139,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Screen & Back Glass,Single,229,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Rear Camera Module,Single,169,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Rear Camera Glass,Single,149,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Charger Port Repair,Single,179,Single pricing (iPhone 11 and older)
Apple,iPhone,SE Series,iPhone SE (2nd gen),Charger Port Cleaning,Single,49,Single pricing (iPhone 11 and older)
